연번,운영상태, 기관명, 기관종류, 급여종류, 주소, 전화번호, 팩스번호
1,운영, 나눔의손재가노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 목천읍 충절로 820, 2층동남구 목천읍 충절로 820, 2층",041-574-0551,041-574-0551
2,운영,(A)비지팅엔젤스천안동남지점,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 월봉7길 49, 223호 (쌍용동, 효명 리치빌)",041-567-1957,041-567-1958
3,운영,(A)돕는천사 벧엘 천안지사,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 원거리12길 2, 1층 (원성동)",041-572-7745,041-572-7715
4,운영,(A)비지팅엔젤스 천안서북방문요양지점,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 백석로 136, 2층 9호 (백석동, 현대아파트단지)",041-552-7963,041-558-7963
5,운영,(주)씨티엘네트웍스충남센터,재가장기요양기관,복지용구제공사업소,충청남도 천안시 서북구 성정동 714번지 1호 102호,041-578-3483,041-578-3484
6,운영,(주)천안돌봄사회서비스센터,재가장기요양기관,"방문요양,방문목욕,복지용구제공사업소","충청남도 천안시 동남구 다가말2길 86-1, 2층, 지하1층 (다가동)",041-564-0350,041-573-0615
7,운영,사랑실천복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕,주야간보호","충청남도 천안시 동남구 통정1로 38-17, 2층 (신방동)",041-578-1605,041-578-1606
8,운영,새롬요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 신당새터2길 48 (신당동),041-585-3434,041-901-4366
9,운영,새롬요양원병설 새롬재가노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",충청남도 천안시 서북구 신당새터2길 48 (신당동),041-585-3434,041-901-4366
10,운영,JJ메디칼,재가장기요양기관,복지용구제공사업소,"충청남도 천안시 동남구 성남면 석곡3길 8, 101호",041-566-3158,041-566-3158
11,운영,TOP(탑) 재가노인복지센터,재가장기요양기관,"방문요양,방문목욕,주야간보호","충청남도 천안시 서북구 쌍용대로 43, 3층 (쌍용동)",041-574-8911,041-574-8912
12,운영,가가호호 주야간 보호센터,재가장기요양기관,주야간보호,"충청남도 천안시 동남구 신촌1길 10, 2층 (신방동, 호마노빌딩)",041-571-9978,041-572-9978
13,운영,가강요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 두정중11길 14, 4,5층 (두정동, 한길프라자B동)",041-567-0133,041-567-0134
14,운영,가까운 이웃 노인요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 미라16길 8-10 (쌍용동),041-572-1000,041-572-1515
15,운영,가람요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 풍세면 통미3길 10,041-592-6200,041-577-7766
16,운영,가족사랑노인복지센터,재가급여제공 장기요양기관,주야간보호,충청남도 천안시 서북구 성거읍 문성1길 69-13,041-551-9988,041-557-8245
17,운영,감나무요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 동남구 각원사길 187-22 (안서동),041-555-8871,041-555-8873
18,운영,감동재가센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 서북구 직산읍 봉주로 13, 106호",041-582-6858,041-584-6858
19,운영,건행재가방문요양센터,재가급여제공 장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 성환읍 홍경길 16, 1층",070-8623-9800,041-582-6135
20,운영,고래요양원,시설급여제공 장기요양기관,노인요양시설(개정법),충청남도 천안시 서북구 세관길 80 (성정동),,041-523-8700
21,운영,고은 빛나 재가요양센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 동남구 충무로 457, 1층 (원성동, 충남근로자복지회관)",041-579-0902,041-569-0902
22,운영,국민보은방문요양센터,재가장기요양기관,방문요양,"충청남도 천안시 서북구 차돌고개7길 60, 501호 (쌍용동)",041-900-5900,041-903-5901
23,운영,굿굿 재가노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕,방문간호","충청남도 천안시 서북구 양지10길 62-5, 2층 201호 (성정동)",041-574-8455,041-574-8456
24,운영,굿널스방문간호센터,재가장기요양기관,방문간호,"충청남도 천안시 동남구 신촌4로 16, 210호 (신방동, 초원그린타운)",041-572-7703,041-571-7703
25,운영,굿데이방문요양센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 동남구 새말4길 5, 상가2동 106호 (신방동)",041-576-9944,041-576-9943
26,운영,굿모닝재가노인복지센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 쌍용11길 58, 207호 (쌍용동)",041-900-0042,041-577-9992
27,운영,굿모닝천안요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 성정공원5로 35, 702호 (성정동)",041-522-0000,041-578-4400
28,운영,그루터기재가복지센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 동남구 다가말4길 44, 102호 (다가동)",041-578-9991,070-4042-1028
29,운영,그린케어천안노인복지센터,재가장기요양기관,"방문요양,방문목욕,주야간보호","충청남도 천안시 서북구 부성2길 28, 1, 2층 (두정동)",041-592-3881,041-592-3882
30,운영,금빛사랑 재가장기요양기관,재가장기요양기관,"방문요양,방문목욕,주야간보호","충청남도 천안시 서북구 성정중1길 31, 2층 (성정동, 삼소빌딩)",041-579-1342,041-579-1343
31,운영,기쁨재가복지센터,재가장기요양기관,"방문요양,방문목욕",충청남도 천안시 동남구 고재1길 39-1 (원성동),041-588-9995,041-552-9995
32,운영,김태희노인복지센터,재가장기요양기관,"방문요양,방문목욕","충청남도 천안시 서북구 두정중11길 14, 2층 (두정동, 한길프라자)",041-551-1100,041-551-0999
33,운영,김태희치매전문요양원,시설급여제공 장기요양기관,노인요양시설(개정법),"충청남도 천안시 서북구 두정중11길 14 (두정동, 한길프라자 B동 2층)",041-551-1100,041-551-0999
34,운영,꽃보다노인주간보호센터,재가급여제공 장기요양기관,주야간보호,"충청남도 천안시 서북구 성환읍 성환9길 9, 2층 202호",041-900-1138,041-902-1138
35,운영,꿈터재가노인복지센터,재가급여제공 장기요양기관,방문요양,"충청남도 천안시 동남구 문화1길 11, 2층 (문화동)",041-551-7892,041-551-7878
36,운영,나눔천안요양보호사파견센타,재가장기요양기관,방문요양,충청남도 천안시 동남구 수선정길 16 (영성동),041-522-1911,041-522-1911
37,운영,날마다 청춘 노인복지센터,재가장기요양기관,"방문요양,방문목욕,주야간보호","충청남도 천안시 동남구 대흥로 90, 201호 (영성동, 영성펜타폴리스25)",041-561-8843,041-561-8844
