정류소 Y좌표,정류소 X좌표,정류소ID,정류소명,정류소번호,정류소순번,노선ID,가장 가까운 복지시설,최단거리_km
36.78333,127.0049,CAB288000744,온양온천역 유엘시티,744,1,CAB285000267,하모니주간보호센터,10.33867024770523
36.78589,127.00661,CAB288000737,아고오거리,737,2,CAB285000267,하모니주간보호센터,10.14549256092457
36.78514,127.01044,CAB288000738,한올고등학교,738,3,CAB285000267,하모니주간보호센터,9.819921823971807
36.78428,127.01506,CAB288000715,온양터미널,808,4,CAB285000267,하모니주간보호센터,9.428797012576581
36.78777,127.0156,CAB288000697,아산소방서,697,5,CAB285000267,하모니주간보호센터,9.324320110725898
36.79001,127.01257,CAB288000698,권곡초등학교앞,698,6,CAB285000267,다함중증장애인자립지원센터,9.534164752896809
36.79155,127.00779,CAB288000700,온양민속박물관,700,7,CAB285000267,가온누리,9.871612596054478
36.7935,127.00855,CAB288000701,권곡주공아파트,701,8,CAB285000267,가온누리,9.731277265473553
36.8372,127.07605,CAB288001052,덕지리,1052,9,CAB285000267,가온누리,3.4553347985694813
36.8293,127.09502,CAB288001091,태헌장미아파트,1091,10,CAB285000267,가온누리,1.5547091164375586
36.82673,127.09934,CAB288001092,산동5리(삼일아파트),1092,11,CAB285000267,가온누리,1.0947092080719465
36.82373461,127.10584407,CAB285002134,원랜드패션몰,2134,12,CAB285000267,가온누리,0.4668862700121159
36.82297966,127.10901458,CAB285000287,백석농공단지입구,287,13,CAB285000267,가온누리,0.2067565080157037
36.82260404,127.11331916,CAB285000996,종합운동장,996,14,CAB285000267,가온누리,0.24005283068620115
36.82320628,127.12119741,CAB285000997,백석그린빌아파트,997,15,CAB285000267,다함중증장애인자립지원센터,0.8378071087915778
36.82240578,127.12571072,CAB285000987,백석현대아파트,987,16,CAB285000267,두런두런주간보호센터,0.6734374910440067
36.81895517,127.13224161,CAB285000882,백석사거리,882,17,CAB285000267,두런두런주간보호센터,0.8693224029697337
36.81848565,127.13968089,CAB285000879,가구웨딩특화거리,879,18,CAB285000267,두리사랑주간보호센터,0.9282378837678897
36.81804075,127.14260215,CAB285000908,성정1동행정복지센터,908,19,CAB285000267,천안시 꽃밭,0.973608980673172
36.81538944,127.14194237,CAB285000905,성정초등학교,905,20,CAB285000267,천안시 꽃밭,1.2575197016979027
36.8126215,127.1412442,CAB285000903,성정사거리,903,21,CAB285000267,시각장애인등 생활지원센터,1.3255401047470425
36.80882577,127.14030883,CAB285000901,공작아파트 입구,901,22,CAB285000267,시각장애인등 생활지원센터,1.0585354920474452
36.80626519,127.13971181,CAB285000897,봉명동행정복지센터,897,23,CAB285000267,시각장애인등 생활지원센터,0.951778359825056
36.8033077,127.13899118,CAB285000899,순천향병원,899,24,CAB285000267,시각장애인등 생활지원센터,0.928382669974114
36.80251918,127.14137501,CAB285000657,농협 봉명동지점,657,25,CAB285000267,천안시장애인희망일터,1.000190013969392
36.80103683,127.14263516,CAB285001765,일봉동행정복지센터,1765,26,CAB285000267,천안시장애인희망일터,0.9058199512158018
36.79946803,127.14269268,CAB285002264,선영새마을금고,2264,27,CAB285000267,천안시장애인희망일터,0.9510217688470066
36.7982139,127.1517372,CAB285000702,남부오거리,702,28,CAB285000267,천안시장애인희망일터,0.49924560841568166
36.7992067,127.1521362,CAB285000676,남산축협,676,29,CAB285000267,천안시장애인희망일터,0.38509374908959726
36.8004711,127.1492519,CAB285000662,천안중앙시장,662,30,CAB285000267,천안시장애인희망일터,0.38461723523463653
36.8032386,127.1462215,CAB285000660,온양나드리,660,31,CAB285000267,천안시장애인희망일터,0.5723424856675254
36.8081632,127.1477157,CAB285000656,천안역 동부광장,656,32,CAB285000267,천안시장애인희망일터,0.7520640079175521
36.8116185,127.148923,CAB285000654,삼도상가,654,33,CAB285000267,편의시설지원센터,0.6590071855371157
36.815312,127.1502101,CAB285000651,복자여자중고등학교,651,34,CAB285000267,편의시설지원센터,0.7664790105063284
36.8175776,127.1514936,CAB285000650,방죽안오거리,650,35,CAB285000267,천안시 꽃밭,0.904198371376538
36.8187607,127.1556582,CAB285000685,종합터미널,685,36,CAB285000267,편의시설지원센터,0.9397525654260679
36.81895798,127.15454074,CAB285000687,고속터미널,687,1,CAB285000268,천안시 꽃밭,0.8882844207943567
36.817435,127.15115249,CAB285000649,방죽안오거리,649,2,CAB285000268,편의시설지원센터,0.9076134780137455
36.815121,127.1499161,CAB285000652,복자여자중고등학교,652,3,CAB285000268,편의시설지원센터,0.7698686483948834
36.8120581,127.1488145,CAB285000653,삼도상가,653,4,CAB285000268,편의시설지원센터,0.6806802193392104
36.8083388,127.147642,CAB285000655,천안역 동부광장,655,5,CAB285000268,천안시장애인희망일터,0.7718049886965724
36.803072,127.146009,CAB285000659,온양나드리,659,6,CAB285000268,천안시장애인희망일터,0.5893765293208076
36.8005047,127.1487406,CAB285000661,남산중앙시장,661,7,CAB285000268,천안시장애인희망일터,0.4188195251319921
36.79921013,127.15157119,CAB285000675,남산축협,675,8,CAB285000268,천안시장애인희망일터,0.39339414123014355
36.7985139,127.1516921,CAB285000701,남부오거리,701,9,CAB285000268,천안시장애인희망일터,0.46700434214318043
36.79934011,127.14290464,CAB285000831,선영새마을금고,831,10,CAB285000268,천안시장애인희망일터,0.9390130002758994
36.80266795,127.14114574,CAB285000658,농협 봉명동지점,658,11,CAB285000268,천안시장애인희망일터,1.020499357991573
36.80334963,127.13921574,CAB285000898,순천향병원,898,12,CAB285000268,시각장애인등 생활지원센터,0.9461350286887389
36.80729344,127.14015131,CAB285010007,천고사거리,900,13,CAB285000268,시각장애인등 생활지원센터,1.0033856686951306
36.8095127,127.14072687,CAB285000902,공작아파트 입구,902,14,CAB285000268,시각장애인등 생활지원센터,1.1197647759329938
36.8129921,127.1415788,CAB285000904,성정사거리,904,15,CAB285000268,편의시설지원센터,1.3304016830144305
36.81542798,127.14214074,CAB285000906,성정초등학교,906,16,CAB285000268,천안시 꽃밭,1.2455060391334545
36.81729464,127.14259575,CAB285000907,성정1동행정복지센터,907,17,CAB285000268,천안시 꽃밭,1.0443288508746165
36.818606,127.138188,CAB285000880,가구웨딩특화거리,880,18,CAB285000268,두리사랑주간보호센터,0.9153197616251303
36.81903497,127.13283576,CAB285000881,백석사거리,881,19,CAB285000268,두런두런주간보호센터,0.8687327724625997
