정류소 Y좌표,정류소 X좌표,정류소ID,정류소명,정류소번호,정류소순번,노선ID,가장 가까운 복지시설,최단거리_m
36.78333,127.0049,CAB288000744,온양온천역 유엘시티,744,1,CAB285000267,하모니주간보호센터,10357.590709323327
36.78589,127.00661,CAB288000737,아고오거리,737,2,CAB285000267,하모니주간보호센터,10164.384537550786
36.78514,127.01044,CAB288000738,한올고등학교,738,3,CAB285000267,하모니주간보호센터,9838.048275976078
36.78428,127.01506,CAB288000715,온양터미널,808,4,CAB285000267,하모니주간보호센터,9445.99011361847
36.78777,127.0156,CAB288000697,아산소방서,697,5,CAB285000267,하모니주간보호센터,9341.78930377567
36.79001,127.01257,CAB288000698,권곡초등학교앞,698,6,CAB285000267,다함중증장애인자립지원센터,9547.968013259402
36.79155,127.00779,CAB288000700,온양민속박물관,700,7,CAB285000267,가온누리,9885.187654194386
36.7935,127.00855,CAB288000701,권곡주공아파트,701,8,CAB285000267,가온누리,9745.166208449642
36.8372,127.07605,CAB288001052,덕지리,1052,9,CAB285000267,가온누리,3459.288771913529
36.8293,127.09502,CAB288001091,태헌장미아파트,1091,10,CAB285000267,가온누리,1556.6985810666754
36.82673,127.09934,CAB288001092,산동5리(삼일아파트),1092,11,CAB285000267,가온누리,1096.4216110724085
36.82373461,127.10584407,CAB285002134,원랜드패션몰,2134,12,CAB285000267,가온누리,467.7913832111785
36.82297966,127.10901458,CAB285000287,백석농공단지입구,287,13,CAB285000267,가온누리,206.97719946474564
36.82260404,127.11331916,CAB285000996,종합운동장,996,14,CAB285000267,가온누리,240.19237998705367
36.82320628,127.12119741,CAB285000997,백석그린빌아파트,997,15,CAB285000267,다함중증장애인자립지원센터,838.3618758199788
36.82240578,127.12571072,CAB285000987,백석현대아파트,987,16,CAB285000267,두런두런주간보호센터,673.2774580506259
36.81895517,127.13224161,CAB285000882,백석사거리,882,17,CAB285000267,두런두런주간보호센터,867.3200075572308
36.81848565,127.13968089,CAB285000879,가구웨딩특화거리,879,18,CAB285000267,두리사랑주간보호센터,926.0562896720512
36.81804075,127.14260215,CAB285000908,성정1동행정복지센터,908,19,CAB285000267,천안시 꽃밭,972.5584954292174
36.81538944,127.14194237,CAB285000905,성정초등학교,905,20,CAB285000267,천안시 꽃밭,1255.738635456432
36.8126215,127.1412442,CAB285000903,성정사거리,903,21,CAB285000267,시각장애인등 생활지원센터,1326.2379710389193
36.80882577,127.14030883,CAB285000901,공작아파트 입구,901,22,CAB285000267,시각장애인등 생활지원센터,1060.1249724626632
36.80626519,127.13971181,CAB285000897,봉명동행정복지센터,897,23,CAB285000267,시각장애인등 생활지원센터,953.6099834236512
36.8033077,127.13899118,CAB285000899,순천향병원,899,24,CAB285000267,시각장애인등 생활지원센터,929.826579742772
36.80251918,127.14137501,CAB285000657,농협 봉명동지점,657,25,CAB285000267,천안시장애인희망일터,1002.1257610658549
36.80103683,127.14263516,CAB285001765,일봉동행정복지센터,1765,26,CAB285000267,천안시장애인희망일터,907.42112209484
36.79946803,127.14269268,CAB285002264,선영새마을금고,2264,27,CAB285000267,천안시장애인희망일터,952.2969386693362
36.7982139,127.1517372,CAB285000702,남부오거리,702,28,CAB285000267,천안시장애인희망일터,498.11184101583433
36.7992067,127.1521362,CAB285000676,남산축협,676,29,CAB285000267,천안시장애인희망일터,384.19891894187344
36.8004711,127.1492519,CAB285000662,천안중앙시장,662,30,CAB285000267,천안시장애인희망일터,384.7052020979088
36.8032386,127.1462215,CAB285000660,온양나드리,660,31,CAB285000267,천안시장애인희망일터,573.4183458878051
36.8081632,127.1477157,CAB285000656,천안역 동부광장,656,32,CAB285000267,천안시장애인희망일터,751.3672560415632
36.8116185,127.148923,CAB285000654,삼도상가,654,33,CAB285000267,편의시설지원센터,660.1468524120122
36.815312,127.1502101,CAB285000651,복자여자중고등학교,651,34,CAB285000267,편의시설지원센터,766.2314572984333
